"Symbol","Date","Close","52Hi","MktCap","Delta ErnQ1","Delta RevQ1","RevQ1","ErnQ1","Zax","Ind","Delta ErnQ2","Delta ErnF1","Delta EarnF2","PE F1","PE Ind","P/S","ESP","Avg Vol","Short"
"RCL","1/25/18","123.58","133.75","26050","-2.62","3.36","1970","1.20","3","206","13.94","21.60","15.39","14.11","45","2.97","0.46","1080832","2.43"
"RF","1/19/18","17.40","17.58","19620","14.13","5.14","1450","0.26","2","21","14.08","14.03","16.00","15.09","17.2","3.36","1.17","8320396","1.88"
"RIG","2/22/18","11.17","16.16","3720","-140.21","-33.83","644.50","-0.25","3","107","-2100.00","-119.52","-121.37","N/A","-11.2","1.29","10.52","9184775","6.25"
"RMBS","1/29/18","14.40","15.50","1610","20.83","3.70","101.17","0.19","3","100","-2.94","15.00","2.42","20.22","39.4","4.04","0.00","891664","6.79"
"RTN","1/25/18","188.30","192.41","54570","7.62","9.55","6830","2.02","3","163","7.17","0.75","8.38","22.59","-14.1","2.17","-0.16","1009113","0"
"S","1/30/18","5.90","9.65","22520","67.71","-3.99","8210","-0.04","3","224","70.54","92.65","-54.82","N/A","-36.7","0.72","43.23","15684400","5.09"
"SBUX","1/25/18","58.71","64.87","84940","9.62","7.36","6160","0.57","3","229","9.33","12.10","13.53","24.95","21.2","3.66","-0.88","7251694","2.29"
"SHLD","3/8/18","3.76","14.32","416.46","N/A","N/A","N/A","N/A","N/A","92","N/A","N/A","N/A","N/A","N/A","0.02","0.00","1230855","8.98"
"N/A","2/28/18","109.69","119.20","7120","27.78","55.18","486.36","0.81","4","96","N/A","95.14","59.96","24.12","42.3","5.56","0.00","673652","0.69"
"SIRI","2/1/18","5.20","5.89","26010","10.72","6.75","1390","0.04","4","235","0.00","24.17","8.05","25.89","16.1","4.5","1.61","19446148","12.35"
"SLB","1/19/18","71.33","87.84","86400","65.68","14.53","8140.000000000001","0.45","3","161","77.20","28.77","46.26","32.38","36.7","3.28","-2.98","8045281","2.06"
